,id,county,state_pm,abs_pm,latitude,longitude,lanes
1047,401936,85,47.82,397.49300000000005,37.407282,-122.06515,4
1048,401937,85,48.52,398.19300000000004,37.411338,-122.076826,4
1049,401942,85,2.85,2.85,37.322594,-121.89785800000001,6
1050,401943,85,2.85,2.85,37.322361,-121.8978,4
1051,401948,85,48.21,397.847,37.409514,-122.07172800000001,5
1052,401949,85,48.94,398.577,37.414582,-122.083368,5
1053,401950,13,4.19,35.598,37.777206,-121.97537700000001,4
1054,401951,13,11.68,11.932,37.992453999999995,-122.076392,2
1055,401952,13,11.68,11.979000000000001,37.992177000000005,-122.076479,2
1056,401954,13,24.42,24.101,38.011247,-121.864952,4
1057,401955,13,3.8,35.173,37.771983,-121.97253899999998,5
1058,401956,13,3.8,35.208,37.771955,-121.97276299999999,5
1059,401957,85,1.05,1.05,37.270311,-121.861079,3
1060,401958,85,1.05,1.04,37.270209,-121.860998,3
1061,401994,85,42.68,392.31699999999995,37.385523,-121.975872,4
1062,401996,85,45.0,394.63699999999994,37.396411,-122.015716,4
1063,401997,85,45.57,395.207,37.398596999999995,-122.02569299999999,4
1064,401998,85,47.02,396.657,37.404178,-122.05107,4
1065,401999,13,8.44,39.848,37.832159000000004,-122.004898,4
1066,402000,85,49.5,399.173,37.419828,-122.091045,5
1067,402002,95,8.17,35.641999999999996,38.169958,-122.19896899999999,4
1068,402003,95,17.49,44.973,38.253226,-122.06688600000001,4
1069,402004,95,17.49,44.973,38.253081,-122.066699,4
1070,402005,97,3.81,471.844,38.2353,-122.619054,2
1071,402007,1,15.08,31.264,37.701136,-121.81979199999999,6
1072,402008,85,2.95,352.208,36.958075,-121.55129699999999,2
1073,402010,85,5.84,355.147,36.999565999999994,-121.556242,3
1074,402011,85,5.84,355.111,36.9996,-121.555853,3
1075,402012,1,21.54,37.724000000000004,37.698503,-121.937095,4
1076,402015,1,21.41,37.442,37.698211,-121.93468200000001,4
1077,402016,1,19.75,35.934,37.70183,-121.90489,5
1078,402017,1,20.15,36.181999999999995,37.701638,-121.912277,3
1079,402018,1,19.93,36.114000000000004,37.701846999999994,-121.908181,6
1080,402019,1,17.93,34.114000000000004,37.701572999999996,-121.87174499999999,5
1081,402020,1,17.95,34.134,37.701578000000005,-121.87211200000002,6
1082,402025,1,11.53,27.714000000000002,37.702942,-121.75550700000001,6
1083,402026,1,11.53,27.561999999999998,37.702703,-121.755526,6
1084,402027,1,12.57,28.754,37.700891,-121.774267,4
1085,402028,1,10.67,26.854,37.702801,-121.73996299999999,4
1086,402029,1,9.77,25.954,37.708574,-121.72523799999999,5
1087,402030,1,10.58,26.612,37.702925,-121.738302,6
1088,402031,1,9.55,25.553,37.710034,-121.7211,5
1089,402032,1,8.55,24.553,37.716692,-121.705048,5
1090,402033,1,8.54,24.695,37.717123,-121.70498899999998,4
1091,402038,41,13.11,1.9040000000000001,38.098652,-122.52022099999999,2
1092,402039,41,13.11,1.9040000000000001,38.098527000000004,-122.520036,2
1093,402040,41,13.8,2.594,38.105801,-122.511444,2
1094,402041,41,13.8,2.594,38.105662,-122.511247,2
1095,402042,97,0.63,4.041,38.121611,-122.497174,2
1096,402043,97,0.63,4.041,38.121444,-122.497006,2
1097,402044,97,5.42,8.831,38.15484,-122.422075,1
1098,402045,97,5.42,8.831,38.154841,-122.422072,1
1099,402046,95,7.24,16.739,38.117602000000005,-122.28924099999999,2
1100,402047,95,7.24,16.739,38.117426,-122.289217,2
1101,402048,95,10.95,20.442999999999998,38.141456,-122.232308,2
1102,402049,95,10.95,20.442999999999998,38.141242999999996,-122.232302,2
1103,402050,95,11.62,21.113000000000003,38.140802,-122.221723,3
1104,402051,95,11.62,21.113000000000003,38.140566,-122.222246,4
1105,402056,85,5.56,5.56,37.328953999999996,-121.89564299999999,3
1106,402057,85,6.09,6.08,37.336401,-121.89756299999999,4
1107,402058,85,6.14,6.13,37.337137,-121.897741,3
1108,402059,85,6.16,6.16,37.337478999999995,-121.897848,4
1109,402060,85,20.2,20.375999999999998,37.356654999999996,-122.062397,3
1110,402061,85,20.2,20.375999999999998,37.356615999999995,-122.06262,3
1111,402062,13,0.06,13.392999999999999,37.89875,-122.309494,4
1112,402067,85,2.97,2.97,37.321366999999995,-121.899571,4
1113,402068,13,25.02,24.654,38.008612,-121.85438400000001,5
1114,402069,13,25.02,24.701,38.008461,-121.854505,5
1115,402070,13,0.86,0.86,38.018347,-121.751494,3
1116,402071,13,0.86,0.86,38.018353000000005,-121.75143,3
1117,402072,13,13.94,45.458999999999996,37.893923,-122.067279,6
1118,402077,95,5.52,32.992,38.137369,-122.22131100000001,4
1119,402079,95,5.46,32.931999999999995,38.136531,-122.22158300000001,3
1120,402085,13,30.65,30.201999999999998,37.990264,-121.75601999999999,3
1121,402086,13,30.65,30.252,37.990041999999995,-121.75606200000001,3
1122,402087,13,31.54,31.092,37.981027000000005,-121.74548700000001,3
1123,402088,13,31.54,31.142,37.980677,-121.745776,3
1124,402089,13,32.04,31.592,37.97472,-121.74096899999999,2
1125,402090,13,31.59,31.191999999999997,37.980043,-121.745333,2
1126,402091,13,32.27,31.872,37.971365999999996,-121.739449,2
1127,402092,13,32.27,31.822,37.97175,-121.739085,2
1128,402093,13,32.73,32.282,37.965277,-121.739626,2
1129,402094,13,32.73,32.332,37.964853999999995,-121.740054,2
1130,402095,13,32.731,32.283,37.965265,-121.73963400000001,2
1131,402096,13,32.760999999999996,32.363,37.964456,-121.740326,2
1132,402098,13,33.68,33.232,37.952476000000004,-121.744429,2
1133,402103,13,0.11,31.518,37.724706,-121.94131000000002,4
1134,402104,1,40.8,57.03,37.793991,-122.20518999999999,4
1135,402105,1,40.8,56.878,37.793819,-122.2053,4
1136,402106,85,5.93,355.23699999999997,37.000864,-121.556242,3
1137,402117,85,6.7,6.69,37.344302,-121.902123,3
1138,402118,85,6.7,6.7,37.344411,-121.902181,3
1139,402119,85,8.1,8.1,37.421182,-121.91503600000001,4
1140,402120,85,6.54,6.54,37.399227,-121.908515,4
1141,402121,85,5.22,5.22,37.380274,-121.90406100000001,4
1142,402122,81,1.81,404.033,37.468307,-122.154416,4
1143,402124,97,19.62,487.654,38.430806,-122.71547,4
1144,402125,97,19.71,488.412,38.432103999999995,-122.715593,3
