id,timestamp_,description,area,latitude,longitude,district,freeway,direction,postmile_state,postmile_abs,duration
18453059,2019-01-01 19:48:00,1125-Traffic Hazard,Solano,38.090006,-122.224525,4,780,W,6.882,6.2,6.0
18453060,2019-01-01 19:45:00,1179-Trfc Collision-1141 Enrt,Oakland,37.780935,-122.173268,4,580,W,R39.086,55.0,22.0
18453061,2019-01-01 19:43:00,1125-Traffic Hazard,Dublin,37.756190999999994,-121.962774,4,680,N,R2.573,33.953,87.0
18453073,2019-01-01 19:58:00,1125-Traffic Hazard,Oakland,37.774153999999996,-122.159976,4,580,E,R37.934,54.0,4.0
18453074,2019-01-01 19:55:00,1182-Trfc Collision-No Inj,Solano,38.069561,-122.227186,4,80,E,0.615,28.1,8.0
18453080,2019-01-01 20:02:00,1125-Traffic Hazard,Hayward,37.668957,-122.10938600000001,4,880,S,18.573,28.8,72.0
18453094,2019-01-01 20:17:00,1183-Trfc Collision-Unkn Inj,Dublin,37.515172,-121.939802,4,680,N,M4.09,14.009,62.0
18453099,2019-01-01 20:25:00,1125-Traffic Hazard,Hayward,37.634974,-122.08695,4,880,S,15.873,26.1,2.0
18453101,2019-01-01 20:28:00,1125-Traffic Hazard,Hollister Gilroy,37.239753,-121.78436200000002,4,85,S,1,1.0,17.0
18453114,2019-01-01 20:16:00,1182-Trfc Collision-No Inj,Dublin,37.741723,-121.57419399999999,4,205,E,L0.1,0.1,110.0
18453130,2019-01-01 21:06:00,CFIRE-Car Fire,San Jose,37.304487,-121.87877900000001,4,87,N,3.61,3.622,19.0
18453138,2019-01-01 21:09:00,1179-Trfc Collision-1141 Enrt,Castro Valley,37.733252,-122.139335,4,580,W,R34.886,50.8,159.0
18453151,2019-01-01 21:31:00,1125-Traffic Hazard,Oakland,37.808592,-122.242804,4,580,E,43.115,59.2,2.0
18453159,2019-01-01 21:44:00,1125-Traffic Hazard,Santa Rosa,38.433993,-122.7169,4,101,S,20.151,487.9,2.0
18453160,2019-01-01 21:41:00,1125-Traffic Hazard,Dublin,37.760375,-121.965448,4,680,N,R2.917,34.298,8.0
18453164,2019-01-01 21:43:00,1183-Trfc Collision-Unkn Inj,Oakland,37.764022,-122.216843,4,880,N,27.473,37.7,73.0
18453171,2019-01-01 21:59:00,1125-Traffic Hazard,San Francisco,37.740299,-122.407848,4,280,N,R4.039,54.0,12.0
18453192,2019-01-01 22:33:00,FIRE-Report of Fire,Oakland,37.789643,-122.25595,4,880,N,30.373,40.6,1.0
18453193,2019-01-01 22:29:00,1125-Traffic Hazard,Dublin,37.760375,-121.965448,4,680,N,R2.917,34.298,5.0
18453198,2019-01-01 22:40:00,1125-Traffic Hazard,San Francisco,37.667072999999995,-122.395206,4,101,N,23.113,425.3,48.0
18453204,2019-01-01 22:45:00,20002-Hit and Run No Injuries,Oakland,37.99184,-122.30790900000001,4,80,E,7.254,20.6,14.0
18453205,2019-01-01 22:50:00,FIRE-Report of Fire,San Jose,37.364271,-121.843933,4,680,S,M2.078,2.095,4.0
18453210,2019-01-01 22:58:00,1183-Trfc Collision-Unkn Inj,Hayward,37.627371000000004,-122.08124299999999,4,880,N,15.273,25.5,21.0
18453218,2019-01-01 23:07:00,1182-Trfc Collision-No Inj,Contra Costa,38.046954,-122.23576100000001,4,80,W,12.954,26.3,38.0
18453267,2019-01-02 01:08:00,1125-Traffic Hazard,San Francisco,37.808253,-122.366974,4,80,E,7.64,4.1,3.0
18453280,2019-01-02 01:45:00,1125-Traffic Hazard,San Jose,37.341077,-121.900085,4,87,N,6.4,6.414,9.0
18453284,2019-01-02 01:55:00,1179-Trfc Collision-1141 Enrt,Santa Rosa,38.328681,-122.71263300000001,4,101,N,13.247,481.2,97.0
18453298,2019-01-02 02:45:00,1183-Trfc Collision-Unkn Inj,San Jose,37.333642,-121.93728700000001,4,880,N,1.2,1.2,13.0
18453308,2019-01-02 03:04:00,1125-Traffic Hazard,Oakland,37.7506,-122.151478,4,580,W,R36.286,52.2,8.0
18453309,2019-01-02 03:07:00,1182-Trfc Collision-No Inj,Contra Costa,37.888907,-122.17566200000002,4,24,E,R3.152,7.5,27.0
18453311,2019-01-02 03:32:00,1179-Trfc Collision-1141 Enrt,San Francisco,37.693391,-122.391746,4,101,S,25.076,427.3,23.0
18453327,2019-01-02 04:24:00,1182-Trfc Collision-No Inj,Dublin,37.720769,-121.655201,4,580,E,R5.545,21.7,13.0
18453331,2019-01-02 04:32:00,1125-Traffic Hazard,Oakland,37.781074,-122.238702,4,880,S,29.173,39.4,14.0
18453333,2019-01-02 04:36:00,1125-Traffic Hazard,Oakland,37.772062,-122.22481200000001,4,880,S,28.173,38.4,20.0
18453334,2019-01-02 04:33:00,1125-Traffic Hazard,San Francisco,37.752501,-122.402997,4,101,S,3.269,431.6,172.0
18453337,2019-01-02 04:39:00,1182-Trfc Collision-No Inj,Redwood City,37.617664000000005,-122.15271399999999,4,92,W,R2.573,22.1,25.0
18453346,2019-01-02 05:09:00,20002-Hit and Run No Injuries,Contra Costa,37.925219,-121.732887,4,4,E,R35.599,35.236,20.0
18453349,2019-01-02 05:15:00,1125-Traffic Hazard,San Francisco,37.775564,-122.40581100000001,4,80,W,4.488,1.0,6.0
18453352,2019-01-02 05:22:00,1125-Traffic Hazard,San Jose,37.290490000000005,-121.87113400000001,4,87,N,2.574,2.57,51.0
18453378,2019-01-02 06:02:00,1125-Traffic Hazard,Contra Costa FSP,37.88436,-122.17967900000001,4,24,W,R2.752,7.1,12.0
18453379,2019-01-02 06:05:00,1183-Trfc Collision-Unkn Inj,GGFSP,37.742201,-121.570176,4,205,W,L0.2,0.2,23.0
18453380,2019-01-02 06:01:00,1183-Trfc Collision-Unkn Inj,Dublin,37.742201,-121.570176,4,205,W,L0.2,0.2,48.0
18453383,2019-01-02 06:12:00,1125-Traffic Hazard,Redwood City,37.510102,-122.34396000000001,4,280,S,11.154,33.7,12.0
18453395,2019-01-02 06:23:00,1125-Traffic Hazard,Redwood City,37.472148,-122.295947,4,280,S,6.954,29.5,8.0
18453396,2019-01-02 06:20:00,1125-Traffic Hazard,San Francisco,37.752501,-122.402997,4,101,S,3.269,431.6,3.0
18453397,2019-01-02 06:19:00,FIRE-Report of Fire,San Jose,37.320882,-121.99549499999999,4,280,N,7.118,8.5,19.0
18453400,2019-01-02 06:24:00,1125-Traffic Hazard,Redwood City,37.499961,-122.320251,4,280,S,9.654,32.2,1.0
18453404,2019-01-02 06:34:00,1183-Trfc Collision-Unkn Inj,Oakland FSP,37.764022,-122.216843,4,880,N,27.473,37.7,25.0
18453405,2019-01-02 06:32:00,1183-Trfc Collision-Unkn Inj,Oakland,37.764022,-122.216843,4,880,N,27.473,37.7,71.0
