,id,county,state_pm,abs_pm,latitude,longitude,lanes,weather_station_id
302,7287,81,21.48,423.667,37.646963,-122.406317,5,23234
303,7288,81,9.28,10.006,37.531103,-122.330303,2,93231
304,7289,13,17.01,48.502,37.935645,-122.060104,5,23254
305,7291,85,15.67,15.845999999999998,37.298931,-122.029806,3,23293
306,7292,85,2.55,2.55,37.34766,-121.919969,3,23293
307,7297,41,18.76,459.365,38.076213,-122.542571,4,135
308,7298,85,1.28,1.28,37.334602,-121.936288,3,23293
309,7299,1,19.96,30.187,37.683298,-122.126995,6,93228
310,7300,13,15.41,15.078,38.009807,-122.023367,4,23254
311,7303,85,4.87,4.87,37.255257,-121.85256,3,23293
312,7305,13,2.07,2.329,37.987589,-122.040509,3,23254
313,7309,41,16.3,456.905,38.043798,-122.535322,5,135
314,7311,81,14.93,417.117,37.586468,-122.331956,4,23234
315,7312,85,22.49,22.666,37.388893,-122.068829,3,23244
316,7313,1,19.37,29.597,37.677613,-122.118725,5,93228
317,7315,81,11.72,413.943,37.551205,-122.29422,5,93231
318,7316,13,5.34,9.688,37.890463,-122.137515,4,23254
319,7318,1,11.66,21.887,37.581087,-122.048943,4,93228
320,7319,85,0.98,0.97,37.349493,-121.839218,5,23293
321,7320,1,13.14,23.367,37.600243,-122.061912,5,93228
322,7322,13,6.763,20.096,37.987131,-122.314625,4,23254
323,7323,1,11.05,21.277,37.572566,-122.045996,5,93228
324,7324,81,21.76,423.947,37.65101,-122.406709,5,23234
325,7329,85,46.02,395.693,37.40013,-122.033628,4,23244
326,7330,1,21.47,31.478,37.724687,-121.941,5,23285
327,7331,41,8.52,449.125,37.942551,-122.515478,4,23272
328,7333,1,38.89,54.956,37.78073,-122.172868,4,23272
329,7334,13,6.45,10.798,37.89455,-122.118824,4,23254
330,7335,95,9.96,67.993,38.182144,-122.133796,2,93227
331,7336,75,3.44,53.413,37.731804,-122.421878,4,23272
332,7337,13,2.53,33.938,37.755435,-121.962571,4,23285
333,7338,13,7.51,38.883,37.822475,-121.993421,4,23254
334,7344,85,7.63,9.012,37.324839,-122.002891,4,23293
335,7347,85,5.26,5.26,37.325124,-121.893062,3,23293
336,7349,1,11.42,21.647,37.577648,-122.04798999999998,4,93228
337,7350,1,2.48,12.39,37.496212,-121.924229,4,23244
338,7351,85,6.7,6.752000000000002,37.418931,-121.962821,4,23293
339,7352,81,18.58,420.80300000000005,37.608375,-122.389578,6,23234
340,7354,1,28.88,39.107,37.776614,-122.236242,4,23234
341,7357,75,6.52,56.481,37.770861,-122.397356,3,23272
342,7358,1,22.96,33.187,37.711717,-122.168258,4,23272
343,7359,75,3.44,53.401,37.731873,-122.417757,4,23272
344,7360,1,7.11,17.337,37.529088,-122.001101,4,23244
345,7361,85,3.8,3.8,37.249661,-121.835108,4,23293
346,7362,81,1.96,404.18300000000005,37.469612,-122.156607,4,93231
347,7363,13,4.72,9.068,37.890953,-122.148661,4,23254
348,7364,13,8.2,12.548,37.89816,-122.087509,5,23254
349,7365,85,2.87,2.927,37.402668,-122.029069,2,23244
350,7366,85,13.52,13.696,37.275212,-122.004898,3,23293
351,7370,85,40.75,390.423,37.376835,-121.94253700000002,4,23293
352,7375,85,31.83,381.463,37.304727,-121.818118,5,23293
353,7377,81,19.45,421.637,37.618189,-122.398826,6,23234
354,7380,13,2.07,2.329,37.987627,-122.040728,4,23254
355,7382,41,16.77,458.043,38.04987,-122.531433,4,135
356,7384,13,4.69,9.038,37.891528,-122.149959,5,23254
357,7385,1,0.24,0.24,37.81757800000001,-122.296578,3,23254
358,7386,1,1.48,11.39,37.484104,-121.914359,4,23293
359,7388,13,7.95,12.298,37.89803,-122.09204,4,23254
360,7390,1,44.68,60.765,37.822295,-122.25977,4,23254
361,7391,1,28.65,38.877,37.77487,-122.232742,4,23254
362,7392,1,25.59,35.817,37.741804,-122.197315,5,23254
363,7393,1,31.31,41.537,37.796547,-122.270242,5,23254
364,7395,1,14.69,24.917,37.619533,-122.075651,4,93228
365,7396,1,6.2,11.51,37.871861,-122.305215,5,23272
366,7399,13,15.72,15.454,38.010295,-122.01743700000002,4,23254
367,7400,13,5.1,9.448,37.891578,-122.142555,4,23254
368,7401,13,2.28,6.627999999999999,37.878808,-122.185235,4,23254
369,7403,13,5.67,10.018,37.891509,-122.132425,4,23254
370,7404,41,17.96,458.565,38.065599,-122.536996,4,135
371,7405,81,15.25,417.473,37.58677,-122.337944,5,23234
372,7406,95,1.72,29.192,38.084435,-122.233021,3,93227
373,7409,1,17.94,33.972,37.701329,-121.871949,5,23285
374,7412,13,0.44,13.773,37.903475,-122.312712,4,23272
375,7414,41,16.3,457.573,38.043717,-122.535012,5,135
376,7418,1,15.8,26.027,37.633433,-122.085877,4,93228
377,7420,13,11.16,42.533,37.862189,-122.033884,4,23254
378,7421,85,5.05,5.05,37.255322,-121.855765,3,23293
379,7423,13,4.45,68.376,37.927097,-122.37423,3,23272
380,7425,81,25.97,428.193,37.706492,-122.394734,4,23272
381,7426,1,1.83,1.821,37.821318,-122.268956,3,23272
382,7427,85,43.79,393.463,37.390763,-121.994912,4,23244
383,7429,81,11.82,414.007,37.552458,-122.295073,4,93231
384,7430,1,15.68,15.503,37.68963400000001,-122.119252,3,93228
385,7432,85,16.06,16.236,37.303016,-122.034801,3,23244
386,7433,85,9.06,21.613000000000003,37.251741,-121.958118,2,23293
387,7438,85,3.07,3.07,37.297486,-121.874117,3,23293
388,7439,1,2.22,0.373,37.829582,-122.26663700000002,4,23293
389,7440,41,15.85,457.1230000000001,38.037559,-122.536356,4,135
390,7441,81,18.92,421.143,37.611521,-122.394365,6,23234
391,7443,1,34.8,45.027,37.82295300000001,-122.292056,2,23234
392,7444,13,8.59,21.923,37.99801,-122.285108,4,23254
393,7445,81,11.26,413.447,37.545931,-122.289058,4,93231
394,7446,1,6.22,16.447,37.522375,-121.98729099999998,4,23244
395,7448,85,3.54,3.54,37.303458,-121.878143,3,23293
396,7449,85,0.2,0.19,37.341439,-121.849299,4,23293
397,7450,1,19.04,29.267,37.67425,-122.114421,6,93228
398,7452,85,36.22,385.853,37.35512,-121.866967,4,23293
399,7453,1,28.65,38.877,37.774755,-122.232821,4,23293
400,7454,1,18.25,28.477,37.664733,-122.106795,5,93228
401,7457,85,8.31,9.692,37.329972,-122.013423,4,23293
402,7458,1,10.49,20.717,37.565692,-122.040628,4,93228
403,7459,13,2.31,66.166,37.921473,-122.336918,3,23272
404,7460,75,2.64,52.601000000000006,37.731577,-122.43422,4,23272
405,7461,85,17.49,17.666,37.32001,-122.048757,4,23244
406,7462,1,27.53,37.757,37.764978,-122.217592,4,23244
407,7463,1,4.91,10.22,37.853676,-122.300011,5,23272
408,7465,1,15.5,25.727,37.62965300000001,-122.083176,4,93228
409,7466,1,29.1,39.327,37.779555,-122.237925,4,93228
410,7467,81,13.93,14.656,37.56726,-122.269207,3,93231
411,7469,1,17.48,27.707,37.654859,-122.100333,5,93228
412,7470,1,10.32,20.547,37.563681,-122.03876499999998,4,93228
413,7471,85,4.47,4.527,37.408833,-122.000989,3,23244
414,7472,85,11.16,11.336,37.259412,-121.966974,4,23293
415,7474,85,6.22,6.22,37.255184,-121.876817,3,23293
416,7475,1,4.67,9.98,37.850502,-122.299413,5,23272
417,7476,1,40.11,56.188,37.786914,-122.196329,4,23272
418,7479,1,0.35,10.26,37.468731,-121.907735,4,23293
419,7480,13,2.23,33.638000000000005,37.75157100000001,-121.96005,4,23285
420,7482,1,4.03,14.257,37.500427,-121.958791,4,23244
421,7484,85,9.43,9.43,37.251345,-121.934089,3,23293
422,7487,81,24.13,46.67,37.662585,-122.465286,4,23234
423,7491,13,10.189,23.522,38.016716,-122.267896,4,23254
424,7493,85,1.94,1.94,37.341275,-121.927699,4,23293
425,7496,13,8.81,40.183,37.835529,-122.009979,4,23254
426,7497,85,9.43,9.43,37.251585,-121.934046,3,23293
427,7498,85,4.76,6.142,37.316788,-121.95351200000002,4,23293
428,7499,85,9.4,21.953000000000007,37.256205,-121.955355,2,23293
429,7500,1,9.03,19.257,37.54901,-122.02445,4,93228
430,7501,85,8.23,8.23,37.250424,-121.912467,4,23293
431,7504,81,13.92,416.107,37.575964,-122.319373,5,23234
432,7507,85,1.25,1.25,37.334296,-121.936706,4,23293
433,7510,85,12.9,14.282,37.341729,-122.091188,4,23244
434,7511,41,17.33,457.935,38.057889,-122.531097,4,135
435,7512,1,5.82,11.13,37.866567,-122.303586,5,23272
436,7513,85,0.1,0.1,37.241625,-121.7675,1,23293
437,7514,81,13.92,416.143,37.575865,-122.319539,5,23234
438,7515,1,1.31,31.37,37.52126,-122.103026,3,93231
439,7517,81,1.18,403.403,37.462878,-122.145152,4,23244
440,7518,13,3.95,67.806,37.926527,-122.365224,3,23272
441,7520,13,1.81,6.158,37.872735,-122.18927,4,23272
442,7522,13,4.45,68.306,37.927273,-122.37421,3,23272
443,7523,1,4.78,15.007,37.507992,-121.968393,4,23244
444,7524,1,25.34,35.567,37.738713,-122.194862,5,23244
445,7525,13,6.31,37.718,37.805445,-121.99048799999998,5,23285
446,7526,85,28.44,377.747,37.25555,-121.793969,4,23293
447,7527,85,45.72,395.393,37.398989,-122.028373,4,23244
448,7528,81,24.81,427.033,37.689976,-122.390983,4,23234
449,7530,75,1.65,51.62300000000001,37.721564,-122.448231,5,23272
450,7531,13,3.39,7.737999999999999,37.891089,-122.172893,5,23254
